district,cycle,real_data,territorial,total_amount,tran_count,total_amount_without_LTS1,tran_count_without_LTS1,total_amount_no_primary,tran_count_no_primary,total_amount_no_primary_without_LTS1,tran_count_no_primary_without_LTS1,total_amount_primary,tran_count_primary,total_amount_primary_without_LTS1,tran_count_primary_without_LTS1,total_amount_gen,tran_count_gen,total_amount_gen_without_LTS1,tran_count_gen_without_LTS1,total_amount_special,tran_count_special,total_amount_special_without_LTS1,tran_count_special_without_LTS1,total_amount_dem_gen,tran_count_dem_gen,total_amount_dem_gen_without_LTS1,tran_count_dem_gen_without_LTS1,total_amount_dem_primary,tran_count_dem_primary,total_amount_dem_primary_without_LTS1,tran_count_dem_primary_without_LTS1,total_amount_dem_special,tran_count_dem_special,total_amount_dem_special_without_LTS1,tran_count_dem_special_without_LTS1,total_amount_rep_gen,tran_count_rep_gen,total_amount_rep_gen_without_LTS1,tran_count_rep_gen_without_LTS1,total_amount_rep_primary,tran_count_rep_primary,total_amount_rep_primary_without_LTS1,tran_count_rep_primary_without_LTS1,total_amount_rep_special,tran_count_rep_special,total_amount_rep_special_without_LTS1,tran_count_rep_special_without_LTS1
AL03,1986,1.0,0,84169.0,173.0,84169.0,173.0,33857.0,72.0,33857.0,72.0,50312.0,101.0,50312.0,101.0,33857.0,72.0,33857.0,72.0,0.0,0.0,0.0,0.0,33557.0,71.0,33557.0,71.0,46312.0,96.0,46312.0,96.0,0.0,0.0,0.0,0.0,300.0,1.0,300.0,1.0,4000.0,5.0,4000.0,5.0,0.0,0.0,0.0,0.0
AL03,1988,1.0,0,13600.0,21.0,13600.0,21.0,2500.0,4.0,2500.0,4.0,11100.0,17.0,11100.0,17.0,2500.0,4.0,2500.0,4.0,0.0,0.0,0.0,0.0,2500.0,4.0,2500.0,4.0,11100.0,17.0,11100.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,1990,1.0,0,1420474.0,1795.0,1144081.0,1322.0,948458.0,1047.0,815590.0,851.0,472016.0,748.0,328491.0,471.0,367471.0,553.0,262159.0,390.0,529788.0,446.0,503732.0,416.0,196892.0,276.0,112183.0,153.0,314609.0,513.0,179214.0,251.0,390512.0,377.0,364456.0,347.0,170579.0,277.0,149976.0,237.0,157407.0,235.0,149277.0,220.0,139276.0,69.0,139276.0,69.0
AL03,1992,1.0,0,180897.0,309.0,180897.0,309.0,64842.0,105.0,64842.0,105.0,116055.0,204.0,116055.0,204.0,64842.0,105.0,64842.0,105.0,0.0,0.0,0.0,0.0,57915.0,93.0,57915.0,93.0,113810.0,198.0,113810.0,198.0,0.0,0.0,0.0,0.0,6927.0,12.0,6927.0,12.0,2245.0,6.0,2245.0,6.0,0.0,0.0,0.0,0.0
AL03,1994,1.0,0,102807.0,170.0,102807.0,170.0,39717.0,68.0,39717.0,68.0,63090.0,102.0,63090.0,102.0,38717.0,67.0,38717.0,67.0,0.0,0.0,0.0,0.0,29205.0,49.0,29205.0,49.0,62290.0,100.0,62290.0,100.0,0.0,0.0,0.0,0.0,9512.0,18.0,9512.0,18.0,800.0,2.0,800.0,2.0,0.0,0.0,0.0,0.0
AL03,1996,1.0,0,1487497.0,1943.0,1487497.0,1943.0,984559.0,1143.0,984559.0,1143.0,502938.0,800.0,502938.0,800.0,866315.0,1016.0,866315.0,1016.0,17000.0,10.0,17000.0,10.0,393661.0,450.0,393661.0,450.0,298611.0,465.0,298611.0,465.0,0.0,0.0,0.0,0.0,472654.0,566.0,472654.0,566.0,204327.0,335.0,204327.0,335.0,17000.0,10.0,17000.0,10.0
AL03,1998,1.0,0,1364354.0,1831.0,1364354.0,1831.0,862561.0,1114.0,862561.0,1114.0,501793.0,717.0,501793.0,717.0,764943.0,924.0,764943.0,924.0,0.0,0.0,0.0,0.0,195387.0,242.0,195387.0,242.0,137472.0,223.0,137472.0,223.0,0.0,0.0,0.0,0.0,569556.0,682.0,569556.0,682.0,364321.0,494.0,364321.0,494.0,0.0,0.0,0.0,0.0
AL03,2000,1.0,0,560958.0,753.0,560958.0,753.0,166998.0,224.0,166998.0,224.0,393960.0,529.0,393960.0,529.0,163748.0,216.0,163748.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163748.0,216.0,163748.0,216.0,393960.0,529.0,393960.0,529.0,0.0,0.0,0.0,0.0
AL03,2002,1.0,0,1216319.0,1375.0,1216319.0,1375.0,584559.0,708.0,584559.0,708.0,631760.0,667.0,631760.0,667.0,547368.0,509.0,547368.0,509.0,0.0,0.0,0.0,0.0,524418.0,490.0,524418.0,490.0,341457.0,390.0,341457.0,390.0,0.0,0.0,0.0,0.0,22950.0,19.0,22950.0,19.0,290303.0,277.0,290303.0,277.0,0.0,0.0,0.0,0.0
AL03,2004,1.0,0,2707484.32,2958.0,2707484.32,2958.0,1149747.32,1420.0,1149747.32,1420.0,1557737.0,1538.0,1557737.0,1538.0,1052505.0,961.0,1052505.0,961.0,0.0,0.0,0.0,0.0,312451.0,221.0,312451.0,221.0,130640.0,94.0,130640.0,94.0,0.0,0.0,0.0,0.0,740054.0,740.0,740054.0,740.0,1427097.0,1444.0,1427097.0,1444.0,0.0,0.0,0.0,0.0
